temp,SLABweight,SLABwide,SLABthick,SLABlong,RolljoblinLT,SHEARinLT,TSmean
714,19.58 ton,1050 mm,250 mm,9540 mm,7.3,3.9,340
705,19.48 ton,1050 mm,250 mm,9490 mm,7.4,4,340
664,19.48 ton,1050 mm,250 mm,9490 mm,7.7,4.1,340
252,28.86 ton,1390 mm,250 mm,10620 mm,9,15.9,338
561,20.5 ton,1150 mm,250 mm,9320 mm,7,4.3,341
534,27.62 ton,1570 mm,250 mm,9000 mm,11.8,8.2,268
382,28.78 ton,1520 mm,250 mm,9780 mm,12.2,7.7,266
679,28.97 ton,1570 mm,250 mm,9440 mm,10.8,3.9,256
545,24.46 ton,1570 mm,250 mm,7970 mm,11.3,7.9,265
309,28.04 ton,1440 mm,246 mm,10300 mm,12.4,18.5,315
456,34.89 ton,1570 mm,250 mm,11550 mm,12.9,8.9,267
418,18.3 ton,1260 mm,250 mm,7490 mm,6.5,12.8,327
484,34.78 ton,1500 mm,250 mm,11860 mm,14.7,7.6,252
273,23.6 ton,1260 mm,250 mm,9580 mm,5.9,13.6,337
474,25.95 ton,1290 mm,250 mm,10290 mm,6.2,5.5,341
578,25.95 ton,1290 mm,250 mm,10290 mm,6.4,5.6,341
479,18.61 ton,1000 mm,250 mm,9520 mm,11.3,9,339
420,18.61 ton,1000 mm,250 mm,9520 mm,11.5,9.2,338
754,18.15 ton,960 mm,250 mm,9670 mm,4.8,1.8,336
494,32.95 ton,1490 mm,250 mm,11310 mm,12.5,7.4,265
472,19.08 ton,1000 mm,250 mm,9760 mm,11.1,7.8,332
512,22.12 ton,1290 mm,250 mm,8770 mm,12.7,9,340
223,34.37 ton,1570 mm,246 mm,11380 mm,6.8,19.2,255
837,18.07 ton,960 mm,250 mm,9630 mm,4.5,0.3,339
555,15.8 ton,1000 mm,250 mm,8080 mm,4.7,7.1,321
661,21.99 ton,1240 mm,250 mm,9070 mm,6.1,4.5,344
612,22.88 ton,1240 mm,250 mm,9440 mm,6.1,4.4,340
545,25.95 ton,1290 mm,250 mm,10290 mm,6.3,5.4,341
603,21.53 ton,1260 mm,250 mm,8740 mm,8.4,9.1,352
265,21.66 ton,1390 mm,250 mm,7970 mm,6.4,18.2,292
577,28.27 ton,1400 mm,250 mm,10330 mm,11.5,8.6,279
224,22.59 ton,1260 mm,250 mm,9170 mm,11.5,15.2,329
569,20.19 ton,1100 mm,250 mm,9390 mm,13,9.5,329
455,27.67 ton,1290 mm,250 mm,10970 mm,13.8,10.5,339
231,21.83 ton,960 mm,250 mm,11630 mm,11.7,20.2,357
487,12.53 ton,1090 mm,250 mm,5880 mm,9.6,10.2,275
424,22.85 ton,1400 mm,250 mm,8350 mm,15.2,8,260
425,23.65 ton,1020 mm,250 mm,11860 mm,10.5,14.1,337
469,19.59 ton,1300 mm,250 mm,7710 mm,8.1,12.9,429
537,18.99 ton,1260 mm,250 mm,7710 mm,4.1,5.9,323
507,15.96 ton,900 mm,250 mm,9070 mm,13.6,7.9,299
